,id,platform,keepID,json_name,column_name,path,list_path,subfield_path,var_type,data_type,file_path,duplicate_flag,date_added,final_path
1773,žiūrėjimo istorija:time,Youtube,watch-history:time,žiūrėjimo istorija.json,time,time,[],"[""time""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/time
1774,žiūrėjimo istorija:products,Youtube,watch-history:products,žiūrėjimo istorija.json,products,products,[],"[""products""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/products
1775,žiūrėjimo istorija:activityControls,Youtube,watch-history:activityControls,žiūrėjimo istorija.json,activityControls,activityControls,[],"[""activityControls""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/activityControls
1776,paieškos istorija:name,Youtube,search-history:name,paieškos istorija.json,name,details/name,"[""details""]","[""name""]",list,string,istorija/paieškos istorija.json,No,pre-trial,istorija/paieškos istorija.json/details/name
1777,žiūrėjimo istorija:name,Youtube,watch-history:details:name,žiūrėjimo istorija.json,name,details/name,"[""details""]","[""name""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/details/name
1778,historial-de-búsqueda:header,Youtube,search-history:header,historial-de-búsqueda.json,header,header,[],"[""header""]",list,string,historial/historial-de-búsqueda.json,No,pre-trial,historial/historial-de-búsqueda.json/header
1779,historial-de-búsqueda:title,Youtube,search-history:title,historial-de-búsqueda.json,title,title,[],"[""title""]",list,string,historial/historial-de-búsqueda.json,No,pre-trial,historial/historial-de-búsqueda.json/title
1780,historial-de-búsqueda:titleUrl,Youtube,search-history:titleUrl,historial-de-búsqueda.json,titleUrl,titleUrl,[],"[""titleUrl""]",list,string,historial/historial-de-búsqueda.json,No,pre-trial,historial/historial-de-búsqueda.json/titleUrl
1781,historial-de-búsqueda:time,Youtube,search-history:time,historial-de-búsqueda.json,time,time,[],"[""time""]",list,string,historial/historial-de-búsqueda.json,No,pre-trial,historial/historial-de-búsqueda.json/time
1782,historial-de-búsqueda:products,Youtube,search-history:products,historial-de-búsqueda.json,products,products,[],"[""products""]",list,string,historial/historial-de-búsqueda.json,No,pre-trial,historial/historial-de-búsqueda.json/products
1783,historial-de-búsqueda:activityControls,Youtube,search-history:activityControls,historial-de-búsqueda.json,activityControls,activityControls,[],"[""activityControls""]",list,string,historial/historial-de-búsqueda.json,No,pre-trial,historial/historial-de-búsqueda.json/activityControls
1784,historial-de-reproducciones:details:name,Youtube,watch-history:details:name,historial-de-reproducciones.json,name,details/name,"[""details""]","[""name""]",list,string,historial/historial-de-reproducciones.json,No,pre-trial,historial/historial-de-reproducciones.json/details/name
1785,watch-history:details:name,Youtube,watch-history:details:name,watch-history.json,name,details/name,"[""details""]","[""name""]",list,string,history/watch-history.json,Yes,pre-trial,history/watch-history.json/details/name
1786,zoekgeschiedenis:description,Youtube,search-history:description,zoekgeschiedenis.json,description,description,[],"[""description""]",list,string,geschiedenis/zoekgeschiedenis.json,No,pre-trial,geschiedenis/zoekgeschiedenis.json/description
1787,zoekgeschiedenis:name,Youtube,search-history:name,zoekgeschiedenis.json,name,details/name,"[""details""]","[""name""]",list,string,geschiedenis/zoekgeschiedenis.json,No,pre-trial,geschiedenis/zoekgeschiedenis.json/details/name
1788,historial de cerques:header,Youtube,search-history:header,historial de cerques.json,header,header,[],"[""header""]",list,string,Takeout/YouTube i YouTube Music/historial/historial de cerques.json,No,,Takeout/YouTube i YouTube Music/historial/historial de cerques.json/header
1789,historial de cerques:title,Youtube,search-history:title,historial de cerques.json,title,title,[],"[""title""]",list,string,Takeout/YouTube i YouTube Music/historial/historial de cerques.json,No,,Takeout/YouTube i YouTube Music/historial/historial de cerques.json/title
1790,historial de cerques:titleUrl,Youtube,search-history:titleUrl,historial de cerques.json,titleUrl,titleUrl,[],"[""titleUrl""]",list,string,Takeout/YouTube i YouTube Music/historial/historial de cerques.json,No,,Takeout/YouTube i YouTube Music/historial/historial de cerques.json/titleUrl
1791,historial de cerques:description,Youtube,search-history:description,historial de cerques.json,description,description,[],"[""description""]",list,string,Takeout/YouTube i YouTube Music/historial/historial de cerques.json,No,,Takeout/YouTube i YouTube Music/historial/historial de cerques.json/description
