,platform,final_path,id,keepID
1290,Facebook,your_facebook_activity/stories/story_reactions.json/stories_feedback_v2/title,your_facebook_activity:stories:story_reactions:stories_feedback_v2:title,stories:story_reactions:title
1307,Facebook,your_facebook_activity/pages/pages_you've_liked.json/page_likes_v2/name,your_facebook_activity:pages:pages_you've_liked:page_likes_v2:name,pages:pages_you've_liked:name
1308,Facebook,your_facebook_activity/pages/pages_you've_liked.json/page_likes_v2/timestamp,your_facebook_activity:pages:pages_you've_liked:page_likes_v2:timestamp,pages:pages_you've_liked:timestamp
1309,Facebook,your_facebook_activity/pages/pages_you've_liked.json/page_likes_v2/url,your_facebook_activity:pages:pages_you've_liked:page_likes_v2:url,pages:pages_you've_liked:url
1318,Facebook,your_facebook_activity/pages/pages_and_profiles_you_follow.json/pages_followed_v2/timestamp,your_facebook_activity:pages:pages_and_profiles_you_follow:pages_followed_v2:timestamp,pages:pages_and_profiles_you_follow:timestamp
1319,Facebook,your_facebook_activity/pages/pages_and_profiles_you_follow.json/pages_followed_v2/title,your_facebook_activity:pages:pages_and_profiles_you_follow:pages_followed_v2:title,pages:pages_and_profiles_you_follow:title
1371,Facebook,your_facebook_activity/groups/group_posts_and_comments.json/group_posts_v2/timestamp,your_facebook_activity:groups:group_posts_and_comments:group_posts_v2:timestamp,groups:group_posts_and_comments:timestamp
1372,Facebook,your_facebook_activity/groups/group_posts_and_comments.json/group_posts_v2/title,your_facebook_activity:groups:group_posts_and_comments:group_posts_v2:title,groups:group_posts_and_comments:group_posts_v2:title
1422,Facebook,your_facebook_activity/posts/edits_you_made_to_posts.json/label_values/label,your_facebook_activity:posts:edits_you_made_to_posts:label_values:label,posts:edits_you_made_to_posts:label
1423,Facebook,your_facebook_activity/posts/edits_you_made_to_posts.json/label_values/value,your_facebook_activity:posts:edits_you_made_to_posts:label_values:value,posts:edits_you_made_to_posts:value
1428,Facebook,your_facebook_activity/other_activity/time_spent_on_facebook.json/label_values/label,your_facebook_activity:other_activity:time_spent_on_facebook:label_values:label,other_activity:time_spent_on_facebook:label_values:label
