,participant,platform,final_path,date_added,duplicate_flag,keepID
1828,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/posts/posts_on_other_pages_and_profiles.json/label_values/dict/dict/label,11/11/2025,No,posts:posts_on_other_pages_and_profiles:dict:label
1829,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/posts/posts_on_other_pages_and_profiles.json/label_values/dict/dict/timestamp_value,11/11/2025,No,posts:posts_on_other_pages_and_profiles:dict:timestamp_value
1830,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/posts/posts_on_other_pages_and_profiles.json/label_values/dict/dict/value,11/11/2025,No,posts:posts_on_other_pages_and_profiles:dict:value
1831,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/posts/posts_on_other_pages_and_profiles.json/label_values/dict/dict/dict,11/11/2025,No,posts:posts_on_other_pages_and_profiles:dict:dict
1832,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/posts/posts_on_other_pages_and_profiles.json/label_values/dict/dict/title,11/11/2025,No,posts:posts_on_other_pages_and_profiles:dict:dict:title
1833,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/posts/your_posts__check_ins__photos_and_videos_1.json/attachments/data/external_context/url,pre-trial,No,your_facebook_activity:posts:your_posts__check_ins__photos_and_videos_1:attachments:data:external_context:url
1834,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/posts/your_posts__check_ins__photos_and_videos_1.json/attachments/data/external_context/url,11/11/2025,No,your_facebook_activity:posts:your_posts__check_ins__photos_and_videos_1:attachments:data:external_context:url
1835,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/posts/your_posts__check_ins__photos_and_videos_1.json/attachments/data/media/uri,11/11/2025,No,posts:your_posts__check_ins__photos_and_videos_1:uri
1836,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/posts/your_posts__check_ins__photos_and_videos_1.json/attachments/data/media/creation_timestamp,11/11/2025,No,posts:your_posts__check_ins__photos_and_videos_1:creation_timestamp
1837,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/posts/your_posts__check_ins__photos_and_videos_1.json/attachments/data/media/description,11/11/2025,No,posts:your_posts__check_ins__photos_and_videos_1:description
1838,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/pages/pages_you_are_a_customer_of.json/label_values/dict/dict/label,11/11/2025,No,pages:pages_you_are_a_customer_of:dict:label
1839,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/pages/pages_you_are_a_customer_of.json/label_values/dict/dict/value,11/11/2025,No,pages:pages_you_are_a_customer_of:dict:value
