,participant,platform,column_name,path,list_path,subfield_path,var_type,data_type,json_name,file_path,final_path
9073,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,href,account_history_login_history/string_map_data/User Agent/href,['account_history_login_history'],"['string_map_data', 'User Agent', 'href']",list,string,login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json/account_history_login_history/string_map_data/User Agent/href
9074,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,value,account_history_login_history/string_map_data/User Agent/value,['account_history_login_history'],"['string_map_data', 'User Agent', 'value']",list,string,login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json/account_history_login_history/string_map_data/User Agent/value
9075,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,timestamp,account_history_login_history/string_map_data/User Agent/timestamp,['account_history_login_history'],"['string_map_data', 'User Agent', 'timestamp']",list,number,login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json/account_history_login_history/string_map_data/User Agent/timestamp
9076,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,href,account_history_logout_history/string_map_data/Cookie Name/href,['account_history_logout_history'],"['string_map_data', 'Cookie Name', 'href']",list,string,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/Cookie Name/href
9077,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,value,account_history_logout_history/string_map_data/Cookie Name/value,['account_history_logout_history'],"['string_map_data', 'Cookie Name', 'value']",list,string,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/Cookie Name/value
9078,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,timestamp,account_history_logout_history/string_map_data/Cookie Name/timestamp,['account_history_logout_history'],"['string_map_data', 'Cookie Name', 'timestamp']",list,number,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/Cookie Name/timestamp
9079,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,href,account_history_logout_history/string_map_data/IP Address/href,['account_history_logout_history'],"['string_map_data', 'IP Address', 'href']",list,string,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/IP Address/href
9080,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,value,account_history_logout_history/string_map_data/IP Address/value,['account_history_logout_history'],"['string_map_data', 'IP Address', 'value']",list,string,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/IP Address/value
9081,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,timestamp,account_history_logout_history/string_map_data/IP Address/timestamp,['account_history_logout_history'],"['string_map_data', 'IP Address', 'timestamp']",list,number,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/IP Address/timestamp
9082,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,href,account_history_logout_history/string_map_data/Port/href,['account_history_logout_history'],"['string_map_data', 'Port', 'href']",list,string,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/Port/href
9083,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,value,account_history_logout_history/string_map_data/Port/value,['account_history_logout_history'],"['string_map_data', 'Port', 'value']",list,string,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/Port/value
9084,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,timestamp,account_history_logout_history/string_map_data/Port/timestamp,['account_history_logout_history'],"['string_map_data', 'Port', 'timestamp']",list,number,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/Port/timestamp
9085,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,href,account_history_logout_history/string_map_data/Language Code/href,['account_history_logout_history'],"['string_map_data', 'Language Code', 'href']",list,string,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/Language Code/href
9086,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,value,account_history_logout_history/string_map_data/Language Code/value,['account_history_logout_history'],"['string_map_data', 'Language Code', 'value']",list,string,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/Language Code/value
9087,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,timestamp,account_history_logout_history/string_map_data/Language Code/timestamp,['account_history_logout_history'],"['string_map_data', 'Language Code', 'timestamp']",list,number,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/Language Code/timestamp
9088,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,href,account_history_logout_history/string_map_data/Time/href,['account_history_logout_history'],"['string_map_data', 'Time', 'href']",list,string,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/Time/href
9089,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,value,account_history_logout_history/string_map_data/Time/value,['account_history_logout_history'],"['string_map_data', 'Time', 'value']",list,string,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/Time/value
9090,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,timestamp,account_history_logout_history/string_map_data/Time/timestamp,['account_history_logout_history'],"['string_map_data', 'Time', 'timestamp']",list,number,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/Time/timestamp
9091,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,href,account_history_logout_history/string_map_data/User Agent/href,['account_history_logout_history'],"['string_map_data', 'User Agent', 'href']",list,string,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/User Agent/href
9092,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,value,account_history_logout_history/string_map_data/User Agent/value,['account_history_logout_history'],"['string_map_data', 'User Agent', 'value']",list,string,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/User Agent/value
9093,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,timestamp,account_history_logout_history/string_map_data/User Agent/timestamp,['account_history_logout_history'],"['string_map_data', 'User Agent', 'timestamp']",list,number,logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json,security_and_login_information/login_and_profile_creation/logout_activity.json/account_history_logout_history/string_map_data/User Agent/timestamp
9094,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,has_camera_metadata,media/media_metadata/camera_metadata/has_camera_metadata,['media'],"['media_metadata', 'camera_metadata', 'has_camera_metadata']",list,boolean,posts_1.json,your_instagram_activity/media/posts_1.json,your_instagram_activity/media/posts_1.json/media/media_metadata/camera_metadata/has_camera_metadata
9095,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,iso,ig_stories/media_metadata/photo_metadata/exif_data/iso,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['iso'],list,number,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/iso
